address_id,customer_id,address_type,street_address,city,state,postal_code,country,is_default
1,1219,billing,1655 Oak Ave,City_89,,92672,Sweden,False
2,605,shipping,8003 Maple Dr,City_42,,80179,Canada,False
3,806,shipping,2719 Oak Ave,City_17,,34888,Australia,False
4,1072,shipping,6910 Main St,City_24,,36106,Canada,True
5,1362,billing,9841 Oak Ave,City_42,,98987,France,False
6,1362,shipping,3942 Main St,City_42,,21453,France,True
7,429,shipping,2787 Main St,City_84,,55837,Sweden,True
8,997,shipping,8338 Main St,City_99,,47065,Canada,True
9,1288,shipping,6763 Main St,City_32,,71177,Australia,False
10,313,shipping,1661 Oak Ave,City_13,,77212,United Kingdom,True
11,356,shipping,3592 Pine Rd,City_52,,58899,Netherlands,True
12,1196,shipping,3368 Main St,City_81,,72582,Netherlands,False
13,468,shipping,6362 Oak Ave,City_3,,24651,Canada,False
14,889,billing,7785 Elm St,City_60,,57589,Spain,False
15,156,shipping,353 Elm St,City_42,,65590,Germany,True
16,1203,shipping,1978 Elm St,City_4,,38649,Italy,False
17,287,shipping,2280 Main St,City_89,,47198,Australia,True
18,1301,billing,6181 Main St,City_85,,25992,Italy,False
19,569,billing,765 Elm St,City_8,,47108,Netherlands,True
20,803,billing,3052 Main St,City_6,,13252,United Kingdom,False
21,589,shipping,1054 Oak Ave,City_1,,45447,Germany,True
22,629,shipping,1587 Maple Dr,City_88,,50273,Netherlands,False
23,1299,shipping,7615 Main St,City_88,TX,91868,United States,True
24,551,billing,7717 Maple Dr,City_79,,77924,Netherlands,False
25,1168,billing,2999 Oak Ave,City_89,,32218,Australia,False
26,652,billing,6235 Elm St,City_8,,67600,Canada,False
27,1452,shipping,9311 Pine Rd,City_68,,36698,Sweden,False
28,306,billing,5802 Main St,City_97,,75044,Australia,True
29,1013,shipping,5191 Maple Dr,City_79,,79930,Canada,False
30,1372,shipping,1979 Pine Rd,City_18,,59039,Sweden,False
31,298,billing,2208 Pine Rd,City_25,,83294,Sweden,True
32,466,shipping,24 Maple Dr,City_100,,71935,Canada,True
33,891,shipping,1674 Elm St,City_7,,22020,Italy,False
34,1,shipping,438 Pine Rd,City_32,,19014,Canada,True
35,761,billing,1074 Oak Ave,City_20,,60464,Spain,True
36,911,shipping,75 Elm St,City_26,,25517,Canada,True
37,1329,billing,9364 Elm St,City_7,,71816,Sweden,True
38,957,shipping,9736 Elm St,City_29,,67530,Spain,True
