customer_id,first_name,last_name,email,phone,age,gender,country,state,city,registration_date,customer_segment,total_orders,total_spent,is_active
1,First_1,Last_1,customer_1@example.com,+1-289-704-7912,19,Other,Canada,,City_32,2025-02-12,Bronze,5,1531.82,True
2,First_2,Last_2,customer_2@example.com,+1-659-703-5557,32,Other,Sweden,,City_4,2024-07-08,Silver,5,1636.95,True
3,First_3,Last_3,customer_3@example.com,+1-552-718-5333,66,M,Spain,,City_44,2025-09-15,Bronze,1,150.73,True
4,First_4,Last_4,customer_4@example.com,+1-791-296-2139,52,M,Spain,,City_11,2023-03-03,Silver,8,2114.93,True
5,First_5,Last_5,customer_5@example.com,+1-414-786-5374,23,M,United Kingdom,,City_49,2024-02-14,Bronze,3,435.64,True
6,First_6,Last_6,customer_6@example.com,+1-855-804-4598,56,Other,Germany,,City_69,2025-05-05,Silver,1,150.56,True
7,First_7,Last_7,customer_7@example.com,+1-605-758-8517,32,M,Australia,,City_52,2025-06-06,Bronze,1,127.61,True
8,First_8,Last_8,customer_8@example.com,+1-721-605-2489,33,Other,Netherlands,,City_69,2024-12-17,Bronze,3,288.27,True
9,First_9,Last_9,customer_9@example.com,+1-590-710-8668,27,Other,Germany,,City_88,2025-02-16,Bronze,0,0.0,True
10,First_10,Last_10,customer_10@example.com,+1-500-545-3591,61,Other,United Kingdom,,City_88,2025-09-05,Gold,5,1999.83,True
11,First_11,Last_11,customer_11@example.com,+1-823-303-3504,80,Other,Germany,,City_65,2024-04-07,Gold,8,976.81,True
12,First_12,Last_12,customer_12@example.com,+1-514-345-1949,52,Other,United States,WI,City_42,2024-11-02,Bronze,1,144.54,True
13,First_13,Last_13,customer_13@example.com,+1-762-269-5342,23,Other,Italy,,City_9,2025-04-20,Platinum,3,195.87,True
14,First_14,Last_14,customer_14@example.com,+1-865-482-8177,79,M,Netherlands,,City_97,2023-05-16,Silver,1,126.6,True
15,First_15,Last_15,customer_15@example.com,+1-272-824-1964,25,M,France,,City_9,2023-03-19,Bronze,3,298.77,True
16,First_16,Last_16,customer_16@example.com,+1-784-690-8744,73,F,United Kingdom,,City_66,2025-07-26,Bronze,5,472.22,True
17,First_17,Last_17,customer_17@example.com,+1-946-155-2612,69,F,France,,City_13,2023-02-03,Bronze,2,334.82,True
18,First_18,Last_18,customer_18@example.com,+1-455-995-2235,69,M,France,,City_25,2023-11-04,Bronze,2,333.48,True
19,First_19,Last_19,customer_19@example.com,+1-610-160-3697,21,Other,Netherlands,,City_2,2025-03-12,Platinum,12,2321.7,True
20,First_20,Last_20,customer_20@example.com,+1-698-258-4111,34,F,Canada,,City_55,2023-07-22,Silver,5,2100.35,True
21,First_21,Last_21,customer_21@example.com,+1-798-588-9238,55,Other,Netherlands,,City_8,2025-06-01,Silver,0,0.0,True
22,First_22,Last_22,customer_22@example.com,+1-269-791-4853,28,M,Netherlands,,City_11,2022-10-07,Gold,0,0.0,True
23,First_23,Last_23,customer_23@example.com,+1-409-785-6147,55,Other,United States,WI,City_11,2024-05-12,Bronze,3,632.44,True
24,First_24,Last_24,customer_24@example.com,+1-776-202-2200,26,Other,Canada,,City_59,2023-07-11,Bronze,5,229.64,True
25,First_25,Last_25,customer_25@example.com,+1-920-409-9666,34,M,Australia,,City_9,2022-11-27,Gold,2,152.07,False
26,First_26,Last_26,customer_26@example.com,+1-415-834-6617,78,M,Canada,,City_15,2025-02-28,Gold,5,376.38,True
27,First_27,Last_27,customer_27@example.com,+1-468-265-8239,50,F,Canada,,City_7,2024-04-06,Bronze,2,806.53,True
28,First_28,Last_28,customer_28@example.com,+1-640-230-1685,53,M,United Kingdom,,City_10,2023-05-07,Gold,5,734.02,True
29,First_29,Last_29,customer_29@example.com,+1-616-735-3532,75,F,France,,City_88,2025-07-09,Bronze,1,415.48,True
30,First_30,Last_30,customer_30@example.com,+1-885-984-5065,73,M,Germany,,City_53,2024-06-01,Bronze,5,668.2,True
31,First_31,Last_31,customer_31@example.com,+1-433-328-1387,42,M,Italy,,City_29,2025-02-19,Bronze,12,1677.32,True
32,First_32,Last_32,customer_32@example.com,+1-749-439-1452,39,F,United Kingdom,,City_99,2023-07-05,Bronze,3,474.4,True
33,First_33,Last_33,customer_33@example.com,+1-820-623-2894,29,Other,Canada,,City_5,2024-04-12,Bronze,2,707.3,True
34,First_34,Last_34,customer_34@example.com,+1-954-786-4228,34,M,Spain,,City_1,2024-09-04,Silver,8,2518.07,True
35,First_35,Last_35,customer_35@example.com,+1-516-782-7691,78,Other,Australia,,City_80,2025-05-08,Bronze,8,2758.22,True
36,First_36,Last_36,customer_36@example.com,+1-200-411-5700,53,M,France,,City_54,2024-02-01,Silver,2,469.7,True
37,First_37,Last_37,customer_37@example.com,+1-373-774-2389,47,F,Italy,,City_87,2023-12-09,Bronze,3,2149.76,True
38,First_38,Last_38,customer_38@example.com,+1-825-970-2193,23,M,Canada,,City_29,2023-11-12,Gold,1,34.83,True
39,First_39,Last_39,customer_39@example.com,+1-988-209-7965,63,Other,Spain,,City_64,2024-08-26,Bronze,1,315.41,True
40,First_40,Last_40,customer_40@example.com,+1-743-672-6198,47,M,Netherlands,,City_32,2022-11-03,Gold,1,67.87,True
41,First_41,Last_41,customer_41@example.com,+1-453-960-5543,57,Other,Netherlands,,City_55,2023-04-06,Gold,3,565.89,True
42,First_42,Last_42,customer_42@example.com,+1-753-182-3267,49,Other,France,,City_36,2022-10-27,Bronze,5,505.06,True
43,First_43,Last_43,customer_43@example.com,+1-630-498-1320,62,M,France,,City_9,2023-08-06,Bronze,2,369.68,True
44,First_44,Last_44,customer_44@example.com,+1-817-325-8999,48,M,Australia,,City_39,2023-08-11,Silver,8,2994.16,True
45,First_45,Last_45,customer_45@example.com,+1-330-737-9751,49,M,Spain,,City_44,2023-04-20,Silver,5,1745.98,False
46,First_46,Last_46,customer_46@example.com,+1-665-434-6529,23,Other,Spain,,City_18,2025-08-04,Gold,1,109.39,True
47,First_47,Last_47,customer_47@example.com,+1-429-765-2124,35,F,Canada,,City_11,2023-08-14,Bronze,5,187.29,True
48,First_48,Last_48,customer_48@example.com,+1-317-677-4571,66,M,France,,City_26,2025-07-08,Gold,3,306.99,True
49,First_49,Last_49,customer_49@example.com,+1-518-210-1420,67,F,Germany,,City_78,2024-04-22,Silver,5,307.02,True
50,First_50,Last_50,customer_50@example.com,+1-508-970-2983,43,Other,France,,City_10,2023-08-22,Silver,8,829.85,True
51,First_51,Last_51,customer_51@example.com,+1-701-208-8102,40,Other,Spain,,City_85,2025-07-06,Bronze,3,410.4,True
52,First_52,Last_52,customer_52@example.com,+1-751-893-8921,63,M,Spain,,City_23,2023-03-02,Silver,20,2253.06,True
53,First_53,Last_53,customer_53@example.com,+1-588-444-1470,38,M,United Kingdom,,City_36,2024-03-28,Gold,1,184.32,True
54,First_54,Last_54,customer_54@example.com,+1-482-669-1166,29,F,France,,City_46,2023-12-03,Silver,2,1265.91,True
55,First_55,Last_55,customer_55@example.com,+1-658-911-1282,23,M,Spain,,City_63,2024-09-02,Silver,1,189.25,True
56,First_56,Last_56,customer_56@example.com,+1-963-663-6419,43,Other,France,,City_40,2024-07-02,Silver,2,452.79,True
57,First_57,Last_57,customer_57@example.com,+1-980-806-4033,35,F,Canada,,City_30,2023-03-14,Bronze,1,63.15,True
58,First_58,Last_58,customer_58@example.com,+1-432-469-3939,35,Other,Sweden,,City_98,2023-01-11,Silver,2,112.87,True
59,First_59,Last_59,customer_59@example.com,+1-305-993-1200,26,F,United States,NY,City_71,2022-10-01,Bronze,12,3327.84,True
60,First_60,Last_60,customer_60@example.com,+1-790-744-1878,48,F,Australia,,City_24,2023-02-10,Platinum,2,86.09,True
61,First_61,Last_61,customer_61@example.com,+1-653-404-8025,23,M,United Kingdom,,City_72,2024-01-15,Silver,3,632.13,True
62,First_62,Last_62,customer_62@example.com,+1-377-665-2229,57,Other,United Kingdom,,City_98,2025-05-28,Bronze,1,293.65,True
63,First_63,Last_63,customer_63@example.com,+1-664-172-4824,46,Other,Sweden,,City_61,2023-06-15,Bronze,1,332.54,True
64,First_64,Last_64,customer_64@example.com,+1-966-944-5728,45,M,Netherlands,,City_29,2024-08-19,Silver,12,944.75,True
65,First_65,Last_65,customer_65@example.com,+1-456-126-2496,62,F,Spain,,City_35,2023-02-12,Silver,3,512.34,True
66,First_66,Last_66,customer_66@example.com,+1-484-285-8141,66,Other,Canada,,City_74,2025-08-17,Bronze,5,934.07,True
67,First_67,Last_67,customer_67@example.com,+1-621-810-9117,80,M,Italy,,City_45,2022-12-26,Bronze,2,115.79,True
68,First_68,Last_68,customer_68@example.com,+1-873-990-9889,70,Other,United States,MA,City_12,2023-07-01,Bronze,2,413.72,True
69,First_69,Last_69,customer_69@example.com,+1-648-815-8941,30,Other,Australia,,City_80,2025-06-09,Silver,3,672.48,True
70,First_70,Last_70,customer_70@example.com,+1-316-572-2924,63,M,Canada,,City_71,2024-05-26,Bronze,2,195.67,True
71,First_71,Last_71,customer_71@example.com,+1-667-664-3369,49,Other,Canada,,City_66,2024-11-17,Silver,2,384.15,True
72,First_72,Last_72,customer_72@example.com,+1-473-940-1042,65,M,United Kingdom,,City_36,2022-11-23,Silver,8,1090.6,True
73,First_73,Last_73,customer_73@example.com,+1-765-881-9903,71,Other,Sweden,,City_85,2024-01-26,Bronze,1,218.68,True
74,First_74,Last_74,customer_74@example.com,+1-684-822-7246,73,M,France,,City_74,2023-12-09,Bronze,8,1299.16,True
75,First_75,Last_75,customer_75@example.com,+1-302-638-8486,49,M,Germany,,City_65,2024-11-21,Platinum,2,112.76,True
76,First_76,Last_76,customer_76@example.com,+1-865-182-6383,73,Other,Germany,,City_10,2023-06-12,Bronze,20,2717.29,True
77,First_77,Last_77,customer_77@example.com,+1-846-800-5708,42,F,Italy,,City_70,2022-10-02,Bronze,0,0.0,True
78,First_78,Last_78,customer_78@example.com,+1-257-400-6873,45,M,United Kingdom,,City_57,2025-03-27,Bronze,2,52.63,True
79,First_79,Last_79,customer_79@example.com,+1-591-734-4945,33,Other,Spain,,City_73,2024-12-04,Silver,1,81.72,True
80,First_80,Last_80,customer_80@example.com,+1-676-394-9955,32,F,Canada,,City_59,2024-12-09,Bronze,0,0.0,True
81,First_81,Last_81,customer_81@example.com,+1-403-493-8916,78,F,Sweden,,City_39,2023-04-08,Silver,2,212.19,True
82,First_82,Last_82,customer_82@example.com,+1-902-896-1803,54,F,Sweden,,City_38,2023-08-09,Platinum,2,228.21,True
83,First_83,Last_83,customer_83@example.com,+1-973-838-3240,71,F,France,,City_78,2022-12-16,Gold,1,86.63,True
84,First_84,Last_84,customer_84@example.com,+1-502-434-7807,37,F,United States,MD,City_47,2025-07-10,Silver,0,0.0,True
85,First_85,Last_85,customer_85@example.com,+1-693-925-5835,68,Other,Australia,,City_68,2025-01-01,Silver,2,156.55,True
86,First_86,Last_86,customer_86@example.com,+1-606-966-6992,69,M,Italy,,City_10,2023-11-05,Bronze,20,11416.13,True
87,First_87,Last_87,customer_87@example.com,+1-853-480-2775,18,F,Netherlands,,City_16,2023-07-13,Bronze,5,1514.36,True
88,First_88,Last_88,customer_88@example.com,+1-917-409-7689,19,Other,Netherlands,,City_42,2023-02-06,Gold,1,42.18,True
89,First_89,Last_89,customer_89@example.com,+1-579-786-9850,78,M,Canada,,City_64,2025-06-28,Bronze,1,218.15,True
90,First_90,Last_90,customer_90@example.com,+1-422-554-8285,74,F,United Kingdom,,City_63,2024-11-16,Silver,12,1390.19,True
91,First_91,Last_91,customer_91@example.com,+1-325-968-8450,24,Other,Australia,,City_70,2023-09-17,Gold,3,123.22,True
92,First_92,Last_92,customer_92@example.com,+1-767-312-4538,59,Other,Sweden,,City_3,2024-07-21,Bronze,2,183.04,True
93,First_93,Last_93,customer_93@example.com,+1-802-431-1258,39,M,Sweden,,City_1,2024-06-08,Bronze,30,4285.18,True
94,First_94,Last_94,customer_94@example.com,+1-659-896-6931,26,Other,Spain,,City_68,2025-06-13,Bronze,0,0.0,True
95,First_95,Last_95,customer_95@example.com,+1-262-590-7580,46,Other,France,,City_79,2025-02-17,Bronze,5,907.44,True
96,First_96,Last_96,customer_96@example.com,+1-839-748-9984,49,Other,Italy,,City_10,2025-02-19,Gold,2,145.83,True
97,First_97,Last_97,customer_97@example.com,+1-764-838-4522,56,Other,Canada,,City_59,2023-08-10,Silver,2,578.75,True
98,First_98,Last_98,customer_98@example.com,+1-637-420-5176,44,F,Italy,,City_52,2024-06-18,Bronze,0,0.0,True
99,First_99,Last_99,customer_99@example.com,+1-298-862-7105,61,F,United Kingdom,,City_12,2024-11-20,Gold,0,0.0,True
100,First_100,Last_100,customer_100@example.com,+1-633-988-1842,55,Other,Netherlands,,City_43,2025-05-29,Silver,2,1221.24,True
101,First_101,Last_101,customer_101@example.com,+1-769-476-2882,40,M,Sweden,,City_65,2023-12-29,Bronze,5,488.44,True
102,First_102,Last_102,customer_102@example.com,+1-919-880-6062,69,F,Netherlands,,City_99,2024-06-22,Gold,3,335.35,True
103,First_103,Last_103,customer_103@example.com,+1-958-748-1502,18,M,Germany,,City_73,2023-10-11,Silver,0,0.0,True
104,First_104,Last_104,customer_104@example.com,+1-781-710-2391,31,F,Spain,,City_59,2022-10-08,Bronze,2,693.21,True
105,First_105,Last_105,customer_105@example.com,+1-420-873-9394,28,Other,United States,TX,City_35,2024-11-14,Bronze,2,514.21,True
106,First_106,Last_106,customer_106@example.com,+1-256-107-4349,25,F,Sweden,,City_63,2023-05-02,Silver,2,192.96,True
107,First_107,Last_107,customer_107@example.com,+1-964-540-3878,67,M,Canada,,City_38,2024-07-23,Bronze,0,0.0,True
108,First_108,Last_108,customer_108@example.com,+1-243-546-1307,63,M,Netherlands,,City_72,2022-10-04,Gold,8,365.95,True
109,First_109,Last_109,customer_109@example.com,+1-221-432-3815,73,F,Sweden,,City_55,2025-04-22,Silver,5,825.45,True
110,First_110,Last_110,customer_110@example.com,+1-280-505-6083,71,Other,Australia,,City_12,2023-03-01,Bronze,1,172.25,True
111,First_111,Last_111,customer_111@example.com,+1-559-844-3419,39,M,United Kingdom,,City_66,2024-07-02,Silver,3,263.56,True
112,First_112,Last_112,customer_112@example.com,+1-843-605-8601,34,M,Germany,,City_78,2024-12-03,Bronze,5,235.15,True
113,First_113,Last_113,customer_113@example.com,+1-652-746-5961,61,Other,Sweden,,City_42,2023-03-24,Gold,3,221.36,True
114,First_114,Last_114,customer_114@example.com,+1-577-951-5703,40,Other,United Kingdom,,City_40,2025-06-05,Bronze,0,0.0,True
115,First_115,Last_115,customer_115@example.com,+1-660-929-4084,57,Other,Netherlands,,City_50,2025-03-28,Bronze,3,1297.54,True
116,First_116,Last_116,customer_116@example.com,+1-736-635-3600,50,M,United States,MA,City_14,2023-01-28,Gold,8,2665.26,True
117,First_117,Last_117,customer_117@example.com,+1-296-671-7333,42,F,Australia,,City_87,2024-02-27,Silver,5,1419.89,True
118,First_118,Last_118,customer_118@example.com,+1-286-417-7171,39,M,Sweden,,City_85,2024-11-25,Bronze,2,310.43,True
119,First_119,Last_119,customer_119@example.com,+1-384-319-6598,70,M,Netherlands,,City_12,2023-11-26,Silver,2,288.26,True
120,First_120,Last_120,customer_120@example.com,+1-956-639-1618,30,M,Germany,,City_20,2023-01-07,Bronze,8,453.26,True
121,First_121,Last_121,customer_121@example.com,+1-938-548-1715,56,F,Germany,,City_21,2025-01-03,Bronze,5,1342.17,True
122,First_122,Last_122,customer_122@example.com,+1-680-955-4178,80,F,Sweden,,City_37,2024-05-30,Silver,5,504.27,True
123,First_123,Last_123,customer_123@example.com,+1-341-993-5096,47,F,Spain,,City_65,2023-04-10,Silver,20,9484.69,True
124,First_124,Last_124,customer_124@example.com,+1-364-379-8361,73,F,Netherlands,,City_14,2023-01-18,Silver,3,194.76,True
125,First_125,Last_125,customer_125@example.com,+1-595-183-7142,71,F,United Kingdom,,City_29,2024-12-01,Gold,8,1255.29,True
126,First_126,Last_126,customer_126@example.com,+1-342-877-8685,77,M,Australia,,City_19,2023-12-16,Bronze,2,998.2,True
127,First_127,Last_127,customer_127@example.com,+1-313-894-5720,75,M,United States,NC,City_28,2025-09-18,Gold,3,1056.91,True
128,First_128,Last_128,customer_128@example.com,+1-811-648-1269,21,M,Spain,,City_82,2025-01-22,Silver,3,180.35,True
129,First_129,Last_129,customer_129@example.com,+1-884-187-9576,63,M,Canada,,City_55,2024-05-21,Bronze,2,471.42,True
